exchange_symbol,instrument_name,instrument_country_id,underlying_name,underlying_asset_class_id,type,face_value,settlement_days,coupon,day_counter,first_auction_date,issue_date,effective_date,maturity_date,period,redemption,settle_start,settle_end,settle_timezone,quote_currency_id,multiplier,tick_size,start_date,end_date,exchange_info,parent_calendar_id,child_calendar_id
912796ST7,B 11/21/2019,US,B 11/21/2019,2.0,BILL,100,1,0.0,Act/360,2019-05-20,2019-05-23,,2019-11-21,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2019-05-21,2019-11-20,USBOND,USBOND,
912796SR1,B 05/21/2020,US,B 05/21/2020,2.0,BILL,100,1,0.0,Act/360,2019-05-21,2019-05-23,,2020-05-21,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2019-05-22,2020-03-30,USBOND,USBOND,
912796VM8,B 07/23/2019,US,B 07/23/2019,2.0,BILL,100,1,0.0,Act/360,2019-05-23,2019-05-28,,2019-07-23,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2019-05-24,2019-07-22,USBOND,USBOND,
912796SU4,B 11/29/2019,US,B 11/29/2019,2.0,BILL,100,1,0.0,Act/360,2019-05-28,2019-05-30,,2019-11-29,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2019-05-29,2019-11-27,USBOND,USBOND,
912796VN6,B 07/30/2019,US,B 07/30/2019,2.0,BILL,100,1,0.0,Act/360,2019-05-30,2019-06-04,,2019-07-30,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2019-05-31,2019-07-29,USBOND,USBOND,
912796VP1,B 08/06/2019,US,B 08/06/2019,2.0,BILL,100,1,0.0,Act/360,2019-06-06,2019-06-11,,2019-08-06,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2019-06-07,2019-08-05,USBOND,USBOND,
912796SW0,B 12/12/2019,US,B 12/12/2019,2.0,BILL,100,1,0.0,Act/360,2019-06-10,2019-06-13,,2019-12-12,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2019-06-11,2019-12-11,USBOND,USBOND,
912796VQ9,B 08/13/2019,US,B 08/13/2019,2.0,BILL,100,1,0.0,Act/360,2019-06-13,2019-06-18,,2019-08-13,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2019-06-14,2019-08-12,USBOND,USBOND,
912796SX8,B 12/19/2019,US,B 12/19/2019,2.0,BILL,100,1,0.0,Act/360,2019-06-17,2019-06-20,,2019-12-19,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2019-06-18,2019-12-18,USBOND,USBOND,
912796SV2,B 06/18/2020,US,B 06/18/2020,2.0,BILL,100,1,0.0,Act/360,2019-06-18,2019-06-20,,2020-06-18,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2019-06-19,2020-03-30,USBOND,USBOND,
912796VR7,B 08/20/2019,US,B 08/20/2019,2.0,BILL,100,1,0.0,Act/360,2019-06-20,2019-06-25,,2019-08-20,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2019-06-21,2019-08-19,USBOND,USBOND,
912796SY6,B 12/26/2019,US,B 12/26/2019,2.0,BILL,100,1,0.0,Act/360,2019-06-24,2019-06-27,,2019-12-26,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2019-06-25,2019-12-24,USBOND,USBOND,
912796VS5,B 08/27/2019,US,B 08/27/2019,2.0,BILL,100,1,0.0,Act/360,2019-06-27,2019-07-02,,2019-08-27,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2019-06-28,2019-08-26,USBOND,USBOND,
